2-046-00  Mattighofen, FFW        48.1065 13.1499  455024 721852  5     970423 P  54186   
2-046-01  Mattighofen, Schule     48.1018 13.1519  461309 719893  4     970423 P  54189   
1-047-00  Ried im Innkreis, Bezir 48.2065 13.4901  438897 740111  3     901019 P  58348   
1-047-01  Ried im Innkreis, Kirch 48.2140 13.4724  435410 741562  4     901019 P  58339   
1-047-02  Ried im Innkreis, Kapuz 48.2126 13.4927  445861 739671  4     901019 P  29666   
2-048-00  Schwanenstadt, Kirche   48.0551 13.7758  389274 729825  5     850325 P  44065   
2-048-01  Vöcklabruck, Stadttor   48.0097 13.6566  426331 712961  7     850328 P  44109   
1-049-03  Sattledt, Kirche        48.0734 14.0571  398050 739452  3     880519 S1-049-03  
2-049-00  Wallern - Schallerbach, 48.2340 13.9450  305524 789270  4     851106 P  31125A  
2-049-01  Wels                    48.1712 14.0251  317609 773567  7     840507 P  31098   
0-050-00  Kremsmünster, Sternwart 48.0557 14.1325  379678 741268  3 304 060831 P  47862F  
0-050-01  Kremsmünster, Sternwart 48.0557 14.1325       0                      P  47862L  
1-050-01  Kremsmünster, Stiftstor 48.0561 14.1295  385930 740247  3 304 060718 P  47862C  
1-050-02  Kremsmünster, Stiftskir 48.0549 14.1302  383842 740403  4     060718 P  47862D  
1-050-04  Kremsmünster, Sternwart 48.0557 14.1323  383190 740544  4     060718 P  47862E  
3-050-26  Traun-Wagram            48.2348 14.2324  277216 806701  4     840503 P  43926   
2-051-00  Rems, Kirche            48.2007 14.5300  264220 799437  4     960710 P  43256A  
2-051-01  ## Rems alt ##verloren# 48.1984 14.5276  260547 799629 26     830819 P  43255   
2-051-02  St.Valentin - Kirchdorf 48.1705 14.5318  270244 795998  4     960711 P  30890   
2-052-00  Oed, Kirche             48.1221 14.7400  393347 769240  7     960711 P  43189   
2-052-01  ## Igelschwang ##verlor 48.1404 14.6991  332533 784955 10     840413 P  43203   
2-052-02  Plappach                48.1415 14.6703  261431 796830  6     960711 P  43211   
2-053-00  ## Amstetten, Stift ##v 48.1256 14.8790  279679 799513  4 253 991104 P  43156   
2-053-01  Amstetten, Franziskus-K 48.1232 14.8704  277228 798254  5 277 991105 P  43159   
2-053-02  Amstetten, Linzerstraße 48.1247 14.8719  279917 798330  8     991105 P  43158   
2-053-03  Amstetten, Stift        48.1256 14.8790  279686 799513  4 253 991104 P  43156A  
3-053-83  Randegg, Post           48.0132 14.9740  363221 759917  4     870616 P  31083   
1-054-00  Melk, Stift             48.2285 15.3319  248744 855362  4     860904 P  43018A  
1-054-03  Melk, Stiftskirche      48.2286 15.3314  248941 854988  4     860904 P  43018   
1-054-04  Melk, Stift, Hof 2      48.2290 15.3330  249255 855713  3 306 860904 P  43017   
2-054-00  Kemmelbach, Bahnhof     48.1594 15.1014  227834 840425  4 310 870615 P  43104   
2-054-01  Wieselburg              48.1316 15.1418  252355 831192  4     860904 P  33918   
3-054-33  Hochpyhra,  EP          48.0333 15.1776  474000 751920  9     860904 221330055  
3-054-78  Scheibbs                48.0087 15.1703  344386 768863  9     860827 P  33978   
1-055-01  Spielberg               48.2242 15.3577  222791 861614  3 289 860904 P  43011   
1-055-02  Melk, Seminar           48.2285 15.3411  250111 856305  4 310 860904 P  43014   
1-055-05  Melk, Stift, Hof 1      48.2290 15.3338  249430 855791  4     860904 P  43016   
2-055-00  Rabenstein, Kirche      48.0659 15.4683  343776 797343 13     860903 P  31686A  
2-055-01  Kirchberg / Pielach, FF 48.0264 15.4316  371517 785091 11     860903 P  31701   
2-055-02  Kirchberg, Straßenmeist 48.0387 15.4496  360670 790659  9     860903 P  31696   
2-055-10  Kilb, Bahnhof           48.1031 15.4073  301158 817281  6     860903 P  33892   
2-056-00  St.Pölten, Kirche St. J 48.1963 15.6227  274366 838472  5     130916 P  48727   
2-056-01  St.Pölten               48.1865 15.6177  279338 835447  5     130916 P  48732   
2-056-alt ## Spratzern - St. Pölt 48.1721 15.6186  286400 831293  4     830425 SSpratzer  
2-057-00  Innermanzing            48.1326 15.9133  297630 819923  4     870820 P  30282   
2-057-01  Kaumberg, FFW           48.0244 15.8991  478771 771988  4     870820 P  55905   
0-058-20  ## BEV-Arltgasse, alter 48.2097 16.3201  217323 842056  2 234 000926 P  61542   
0-058-21  BEV-Arltgasse, alter Lä 48.2097 16.3201  217300 842033  2 231 150321 S0-058-21  
1-058-20  BEV-Arltgasse, Messscha 48.2099 16.3196  217383 842237  4 230 140924 P  61541   
1-058-21  BEV-Arltgasse, Messscha 48.2099 16.3196  221664 841136  3 264 140924 P  61540   
1-058-22  BEV-Arltgasse, Hof, Stu 48.2097 16.3197  221778 841269  3     140924 P  61539   
1-058-23  ## BEV-Arltgasse, Hof,  48.2099 16.3201  221289 841289  5     000926 P  61536   
1-058-24  BEV - Arltgasse, Haupte 48.2096 16.3203  221940 841108  8     140924 P  61535   
1-058-25  Arltgasse, Schule       48.2105 16.3206  218067 841918  4     140924 P  61534   
2-058-10  Hütteldorf, St. Andreas 48.2028 16.2578  218048 851191  4     850415 P  39392   
2-058-11  Hütteldorf, St. Andreas 48.2028 16.2577  218466 851078  4     830506 P  39391   
2-058-alt ## Wien - am Tivoli ##v 48.1758 16.3172  229000 836826 11     820611 STivoli    
3-058-20  BEV - Arltgasse, Laserk 48.2098 16.3197  217392 842196  3     140911 P  61543   
3-058-22  BEV-Arltgasse, Hof, Wes 48.2097 16.3197  221875 841212  5     140924 P  61538   
3-058-23  ## BEV-Arltgasse, Kraft 48.2098 16.3202  221249 841294  4     000511 P  61537   
0-059-00  ZAMG-Hohe Warte, Seismi 48.2494 16.3577  192440 849538  4 257 070207 S0-059-00  
0-059-10  Mannswörth, Neumühle Ke 48.1508 16.5000  155692 837729  3 271 881118 P  35857H  
0-059-20  BEV - U3, Absolutschwer 48.2197 16.3742  152439 850424  2 253 140924 P  62258   
0-059-21  BEV - U3, Absolutschwer 48.2197 16.3742  152437 850385  2 255 110715 P  62259   
1-059-00  ZAMG-Hohe Warte, Seismi 48.2494 16.3577  192436 849547  3 255 050628 P  49079D  
1-059-01  ## Wien 19, ZAMG-HW-Anb 48.2491 16.3572  199629 848112  3 264 830317 S1-059-01  
1-059-02  ZAMG-Hohe Warte, Eingan 48.2494 16.3573  202029 847490  3     920310 P  49079A  
1-059-03  ZAMG-Hohe Warte, Direkt 48.2490 16.3568  200773 847800  3     850417 P  49081   
1-059-04  ZAMG-Hohe Warte, Seismi 48.2494 16.3578  191724 849658  4 260 850321 P  49079C  
1-059-05  ZAMG-Hohe Warte, Anbau  48.2491 16.3572  199626 848098  4     890710 P  49079B  
1-059-10  Mannswörth, Neumühle, W 48.1509 16.4999  155948 837644  4     920804 P  35857G  
1-059-11  Mannswörth, Kirche      48.1461 16.5220  157838 835935  6     890419 P  35879   
1-059-12  Mannswörth, Neumühle, T 48.1507 16.5009  159597 836772  5     890419 P  35857F  
2-059-01  Wienerberg, Wasserturm  48.1691 16.3554  241225 836531  8     990818 P  48959C  
2-059-02  Aspern, Kirche          48.2185 16.4843  158635 846114  9     820604 N5210014   
2-059-03  Wien 18, Sternwartepark 48.2320 16.3368  228380 839704  4     840315 P  49056   
2-059-10  Flughafen Wien-Schwecha 48.1248 16.5521  175013 831344  5 247 890419 P  35885   
2-059-11  Moosbrunn               48.0250 16.4720  194068 823728  4     900829 P  32477   
2-059-20  BEV - U2/AC             48.2193 16.3745  155521 849767  4 250 041109 P  62264   
2-059-21  BEV - A317              48.2192 16.3740  172199 845430  4 275 960816 S2-059-21  
2-059-22  BEV - U1/AB             48.2191 16.3740  158630 849046  6 254 041109 P  62266   
2-059-23  BEV - Stiegenhaus Ost - 48.2194 16.3743  152430 850501  4 256 111206 P  62260   
2-059-32  BEV, Stiegenhaus Ost -  48.2194 16.3743  169762 846105  4 274 100715 P  62269   
2-059-33  BEV - Stiegenhaus Ost - 48.2194 16.3743  172234 845423  4 277 041109 P  62270   
2-059-34  BEV, Stiegenhaus Ost -  48.2194 16.3743  175964 844384  4 281 111206 P  62271   
2-059-36  BEV, Stiegenhaus Ost -  48.2194 16.3743  182165 842639  4 284 050308 P  62272   
2-059-38  BEV, Stiegenhaus Ost -  48.2194 16.3743  188370 840862  4 301 111206 P  62273   
2-059-39  BEV: Stiegenhaus Ost -  48.2194 16.3743  192101 839801  4 297 111206 P  62274   
2-059-40  BEV - Hofeingang A/C, V 48.2194 16.3743  162324 848102  4 257 100913 P  62268   
2-059-41  BEV, Stiegenhaus Ost -  48.2194 16.3743  162324 848066  4 257 111206 P  62267   
2-059-alt Wien 18, Sternwartepark 48.2328 16.3373  226000 840096  5     820517 SSternwar  
3-059-00  Wien 11, Enkplatz       48.1764 16.4147  172254 847703  9     840321 P  49200   
3-059-09  Wien 7, Schottenfeldkir 48.2023 16.3459  205965 840020  9     840314 P  48909   
3-059-21  TU-Wien                 48.1997 16.3704  171096 847578 10     840314 P  48921   
3-059-22  BEV - U1/AC             48.2194 16.3743  158632 849001 11 255 910626 P  62265   
3-059-33  Wien 20, Engelsplatz, E 48.2447 16.3821  164863 851099  8     060111 P  63713   
3-059-35  ## Wien 7, Zieglergasse 48.2024 16.3461  202000 840835  7     840321 S3-059-35  
3-059-53  Wien 18, Sternwartepark 48.2310 16.3369  213682 842820  4     840321 P  49053   
3-059-63  Wien 2, Mexikoplatz, Ju 48.2248 16.4062  165720 847716 11     840321 P  62292   
2-060-00  Maria Ellend, Pfarre    48.1112 16.6917  174724 833720  5     860611 P  37420   
2-060-01  ## Haslau/Donau ### ver 48.1184 16.7178  185052 831708  5     840319 P  37429   
2-060-02  Fischamend              48.1195 16.6173  160073 837596  4     890419 P  37409   
1-061-00  Parndorf, FFW           48.0018 16.8625  182071 851690  3     920729 P  38963A  
1-061-01  Parndorf, Aufbahrungsha 48.0006 16.8649  183084 851407  4     920421 P  38963   
1-061-02  ## Parndorf, Kirche ##v 48.0005 16.8615  181980 851395  9 272 920421 P  38964   
2-061-00  Hainburg / Donau, Fried 48.1470 16.9500  163280 873702  6 274 920930 P  38841   
2-061-01  Hainburg/Donau, Denkmal 48.1469 16.9579  171952 873203  4     910722 P  38844   
2-061-02  ## Deutsch Altenburg ## 48.1414 16.9016  143257 873659  6     840319 P  37503   
2-061-10  ## Berg, Zollamt alt ## 48.1225 17.0625  140912 872596  4     920729 P  38890A  
2-061-11  Kittsee, Ghf.           48.0820 17.0718  136844 865788  4     920729 P  38901A  
2-061-12  Kittsee, Kirche         48.0938 17.0660  138036 869213  4     920729 P  38899   
3-061-87  Heimatlandsiedlung      48.2264 16.9395  145726 863590  8     920930 P  41087   
2-063-00  Oberndorf, Post         47.9404 12.9448  400774 705414  5     020426 P  22417A  
2-063-01  Oberndorf, Bahnhof      47.9423 12.9445  400485 706079  8     901009 P  22418A  
2-063-alt ## Walserberg - Zoll ## 47.7716 12.9435  482000 657318  6     830426 SWALSERBG  
2-064-00  Neumarkt am Wallersee   47.9475 13.2250  551331 682173  5     970418 P  45994   
2-064-01  Straßwalchen, Feuerwehr 47.9782 13.2544  530277 687176  4     970418 P  45977   
2-064-10  Hof bei Salzburg, Kirch 47.8202 13.2168  738685 622890  7     850801 S2-064-10  
